City,avg_GHI_kWhm2_day,avg_temp_C,clearness_index,precip_mm_day
Accra,4.8244,27.0708,0.4867,3.9358
Almaty,4.1919,1.6033,0.5492,1.7725
Antigua,5.8819,28.4175,0.6158,2.9958
Beirut,5.2555,19.9242,0.6033,1.3658
Colombo,5.3922,27.1208,0.5433,5.4292
DarEsSalaam,5.4809,26.9725,0.5508,4.7917
GreatDhakaRegion,4.2247,25.4375,0.4633,8.2842
Grenada,5.8826,28.6800,0.6033,2.8592
Izmir,4.9777,19.9258,0.6000,1.6875
Karachi,5.3065,26.5925,0.5875,1.2142
LagosState,4.6852,27.0333,0.4758,4.4775
Maldives,5.4364,28.6708,0.5450,5.3508
Manila,5.2054,26.6308,0.5375,8.4017
Mexico City,5.5814,15.1800,0.5950,2.5958
Nairobi,5.6806,20.6300,0.5700,1.8500
Panama,4.8114,21.9992,0.5508,4.0242
Samarkand,4.5892,13.9233,0.5567,1.3017
SouthAfrica,5.6537,18.3358,0.6392,1.2350
Honduras,5.0196,23.6325,0.5167,5.2775
Maldives,5.4364,28.6708,0.5450,5.3508
